program;lopnr;female;kull;termin;tnr;status;poang_p;kullnr;ptnr
K;6799;0;19932;20072;29;-4;0;1;29
K;6799;0;19932;20081;30;-4;0;1;30
K;6799;0;19932;20082;31;-4;0;1;31
K;6799;0;19932;20091;32;-4;0;1;32
K;6799;0;19932;20092;33;-4;0;1;33
K;6799;0;19932;20101;34;-4;0;1;34
K;6799;0;19932;20102;35;-4;0;1;35
K;6799;0;19932;20111;36;-7;0;1;36
E;6800;0;19932;19932;1;1;22.5;1;1
E;6800;0;19932;19941;2;2;37.5;1;2
E;6800;0;19932;19942;3;3;30;1;3
E;6800;0;19932;19951;4;4;37.5;1;4
E;6800;0;19932;19952;5;-2;0;1;5
E;6800;0;19932;19961;6;-2;0;1;6
E;6800;0;19932;19962;7;5;34.5;1;7
E;6800;0;19932;19971;8;6;43.5;1;8
E;6800;0;19932;19972;9;7;19.5;1;9
E;6800;0;19932;19981;10;8;28.5;1;10
E;6800;0;19932;19982;11;-5;30;1;11
M;6801;0;20092;20092;33;1;17;33;1
M;6801;0;20092;20101;34;-7;11;33;2
V;6802;0;20002;20002;15;1;30;15;1
V;6802;0;20002;20011;16;2;27;15;2
V;6802;0;20002;20012;17;3;25.5;15;3
V;6802;0;20002;20021;18;4;36;15;4
V;6802;0;20002;20022;19;5;36;15;5
V;6802;0;20002;20031;20;6;30;15;6
V;6802;0;20002;20032;21;7;25.5;15;7
V;6802;0;20002;20041;22;8;15;15;8
V;6802;0;20002;20042;23;8;0;15;9
V;6802;0;20002;20051;24;9;30;15;10
V;6802;0;20002;20052;25;-5;0;15;11
M;6803;0;20012;20012;17;1;10.5;17;1
M;6803;0;20012;20021;18;2;6;17;2
M;6803;0;20012;20022;19;3;10.5;17;3
M;6803;0;20012;20031;20;3;13.5;17;4
M;6803;0;20012;20032;21;-2;4.5;17;5
M;6803;0;20012;20041;22;3;7.5;17;6
M;6803;0;20012;20042;23;3;12;17;7
M;6803;0;20012;20051;24;4;7.5;17;8
M;6803;0;20012;20052;25;5;0;17;9
M;6803;0;20012;20061;26;5;0;17;10
M;6803;0;20012;20062;27;5;13.5;17;11
M;6803;0;20012;20071;28;5;15;17;12
M;6803;0;20012;20072;29;-7;0;17;13
E;6804;0;19962;19962;7;1;13.5;7;1
E;6804;0;19962;19971;8;2;13.5;7;2
E;6804;0;19962;19972;9;2;0;7;3
E;6804;0;19962;19981;10;-4;0;7;4
E;6804;0;19962;19982;11;-4;0;7;5
E;6804;0;19962;19991;12;-4;0;7;6
E;6804;0;19962;19992;13;-4;0;7;7
E;6804;0;19962;20001;14;-4;0;7;8
E;6804;0;19962;20002;15;-4;0;7;9
E;6804;0;19962;20011;16;-4;0;7;10
E;6804;0;19962;20012;17;-4;0;7;11
E;6804;0;19962;20021;18;-4;0;7;12
E;6804;0;19962;20022;19;-4;0;7;13
E;6804;0;19962;20031;20;-4;0;7;14
E;6804;0;19962;20032;21;-4;0;7;15
E;6804;0;19962;20041;22;-4;0;7;16
E;6804;0;19962;20042;23;-4;0;7;17
E;6804;0;19962;20051;24;-4;0;7;18
E;6804;0;19962;20052;25;-4;0;7;19
E;6804;0;19962;20061;26;-4;0;7;20
E;6804;0;19962;20062;27;-4;0;7;21
E;6804;0;19962;20071;28;-4;0;7;22
E;6804;0;19962;20072;29;-4;0;7;23
E;6804;0;19962;20081;30;-4;0;7;24
E;6804;0;19962;20082;31;-4;0;7;25
E;6804;0;19962;20091;32;-4;0;7;26
E;6804;0;19962;20092;33;-4;0;7;27
E;6804;0;19962;20101;34;-4;0;7;28
E;6804;0;19962;20102;35;-4;0;7;29
E;6804;0;19962;20111;36;-7;0;7;30
E;6805;0;19932;19932;1;1;12;1;1
E;6805;0;19932;19941;2;2;18;1;2
E;6805;0;19932;19942;3;-2;0;1;3
E;6805;0;19932;19951;4;-2;0;1;4
E;6805;0;19932;19952;5;-2;0;1;5
E;6805;0;19932;19961;6;-2;0;1;6
E;6805;0;19932;19962;7;-4;0;1;7
E;6805;0;19932;19971;8;-4;0;1;8
E;6805;0;19932;19972;9;-4;0;1;9
E;6805;0;19932;19981;10;-4;0;1;10
E;6805;0;19932;19982;11;-4;0;1;11
E;6805;0;19932;19991;12;-4;0;1;12
E;6805;0;19932;19992;13;-4;0;1;13
E;6805;0;19932;20001;14;-4;0;1;14
E;6805;0;19932;20002;15;-4;0;1;15
E;6805;0;19932;20011;16;-4;0;1;16
E;6805;0;19932;20012;17;-4;0;1;17
E;6805;0;19932;20021;18;-4;0;1;18
E;6805;0;19932;20022;19;-4;0;1;19
E;6805;0;19932;20031;20;-4;0;1;20
E;6805;0;19932;20032;21;-4;0;1;21
E;6805;0;19932;20041;22;-4;0;1;22
E;6805;0;19932;20042;23;-4;0;1;23
E;6805;0;19932;20051;24;-4;0;1;24
E;6805;0;19932;20052;25;-4;0;1;25
E;6805;0;19932;20061;26;-4;0;1;26
E;6805;0;19932;20062;27;-4;0;1;27
E;6805;0;19932;20071;28;-4;0;1;28
E;6805;0;19932;20072;29;-4;0;1;29
E;6805;0;19932;20081;30;-4;0;1;30
E;6805;0;19932;20082;31;-4;0;1;31
E;6805;0;19932;20091;32;-4;0;1;32
E;6805;0;19932;20092;33;-4;0;1;33
E;6805;0;19932;20101;34;-4;0;1;34
E;6805;0;19932;20102;35;-4;0;1;35
E;6805;0;19932;20111;36;-7;0;1;36
F;6806;0;20112;20112;37;1;30;37;1
F;6806;0;20112;20121;38;2;30;37;2
F;6806;0;20112;20122;39;3;12;37;3
F;6806;0;20112;20131;40;4;41;37;4
F;6806;0;20112;20132;41;5;27.5;37;5
F;6806;0;20112;20141;42;6;33.5;37;6
F;6806;0;20112;20142;43;7;22;37;7
F;6806;0;20112;20151;44;8;28.5;37;8
F;6806;0;20112;20152;45;9;9;37;9
F;6806;0;20112;20161;46;10;26;37;10
I;6807;1;20052;20052;25;1;30;25;1
I;6807;1;20052;20061;26;2;18;25;2
I;6807;1;20052;20062;27;3;30;25;3
I;6807;1;20052;20071;28;4;36;25;4
I;6807;1;20052;20072;29;5;36;25;5
I;6807;1;20052;20081;30;6;28.5;25;6
I;6807;1;20052;20082;31;-3;7.5;25;7
I;6807;1;20052;20091;32;8;0;25;8
I;6807;1;20052;20092;33;9;7.5;25;9
I;6807;1;20052;20101;34;9;30;25;10
I;6807;1;20052;20102;35;-5;0;25;11
D;6808;0;19992;19992;13;1;15;13;1
D;6808;0;19992;20001;14;2;27;13;2
D;6808;0;19992;20002;15;3;25.5;13;3
D;6808;0;19992;20011;16;4;27;13;4
D;6808;0;19992;20012;17;5;22.5;13;5
D;6808;0;19992;20021;18;5;52.5;13;6
D;6808;0;19992;20022;19;5;33;13;7
D;6808;0;19992;20031;20;6;40.5;13;8
D;6808;0;19992;20032;21;7;0;13;9
D;6808;0;19992;20041;22;8;37.5;13;10
D;6808;0;19992;20042;23;-5;0;13;11
D;6809;0;20032;20032;21;1;0;21;1
D;6809;0;20032;20041;22;2;0;21;2
D;6809;0;20032;20042;23;-4;0;21;3
D;6809;0;20032;20051;24;-4;0;21;4
D;6809;0;20032;20052;25;-4;0;21;5
D;6809;0;20032;20061;26;-7;0;21;6
I;6810;1;20012;20012;17;1;22.5;17;1
I;6810;1;20012;20021;18;2;37.5;17;2
I;6810;1;20012;20022;19;-2;13.5;17;3
I;6810;1;20012;20031;20;-2;0;17;4
I;6810;1;20012;20032;21;-4;0;17;5
I;6810;1;20012;20041;22;-4;0;17;6
I;6810;1;20012;20042;23;-4;0;17;7
I;6810;1;20012;20051;24;-4;0;17;8
I;6810;1;20012;20052;25;-4;0;17;9
I;6810;1;20012;20061;26;-4;0;17;10
I;6810;1;20012;20062;27;-4;0;17;11
I;6810;1;20012;20071;28;-4;0;17;12
I;6810;1;20012;20072;29;-4;0;17;13
I;6810;1;20012;20081;30;-4;0;17;14
I;6810;1;20012;20082;31;-4;0;17;15
I;6810;1;20012;20091;32;-4;0;17;16
I;6810;1;20012;20092;33;-4;0;17;17
I;6810;1;20012;20101;34;-4;0;17;18
I;6810;1;20012;20102;35;-4;0;17;19
I;6810;1;20012;20111;36;-7;0;17;20
M;6811;1;20112;20112;37;1;28;37;1
M;6811;1;20112;20121;38;2;10;37;2
M;6811;1;20112;20122;39;3;12;37;3
M;6811;1;20112;20131;40;4;23.5;37;4
M;6811;1;20112;20132;41;-2;0;37;5
M;6811;1;20112;20141;42;-2;0;37;6
M;6811;1;20112;20142;43;4;0;37;7
M;6811;1;20112;20151;44;4;0;37;8
M;6811;1;20112;20152;45;-7;0;37;9
C;6812;0;20032;20032;21;1;18;21;1
C;6812;0;20032;20041;22;2;28.5;21;2
C;6812;0;20032;20042;23;-2;0;21;3
C;6812;0;20032;20051;24;-4;0;21;4
C;6812;0;20032;20052;25;-4;0;21;5
C;6812;0;20032;20061;26;-7;0;21;6
N;6813;1;20102;20102;35;1;26;35;1
N;6813;1;20102;20111;36;2;34;35;2
N;6813;1;20102;20112;37;3;30;35;3
N;6813;1;20102;20121;38;4;30;35;4
N;6813;1;20102;20122;39;5;30;35;5
N;6813;1;20102;20131;40;6;30;35;6
N;6813;1;20102;20132;41;7;0;35;7
N;6813;1;20102;20141;42;8;21;35;8
N;6813;1;20102;20142;43;-3;0;35;9
N;6813;1;20102;20151;44;-3;0;35;10
N;6813;1;20102;20152;45;-3;0;35;11
N;6813;1;20102;20161;46;-2;0;35;12
L;6814;1;19972;19972;9;1;31.5;9;1
L;6814;1;19972;19981;10;2;28.5;9;2
L;6814;1;19972;19982;11;3;28.5;9;3
L;6814;1;19972;19991;12;4;31.5;9;4
L;6814;1;19972;19992;13;5;30;9;5
L;6814;1;19972;20001;14;6;18;9;6
L;6814;1;19972;20002;15;-2;0;9;7
L;6814;1;19972;20011;16;-2;0;9;8
L;6814;1;19972;20012;17;-2;0;9;9
L;6814;1;19972;20021;18;-2;0;9;10
L;6814;1;19972;20022;19;7;27;9;11
L;6814;1;19972;20031;20;8;45;9;12
L;6814;1;19972;20032;21;-5;30;9;13
L;6815;1;20002;20002;15;1;30;15;1
L;6815;1;20002;20011;16;2;24;15;2
L;6815;1;20002;20012;17;3;24;15;3
L;6815;1;20002;20021;18;4;31.5;15;4
L;6815;1;20002;20022;19;5;30;15;5
L;6815;1;20002;20031;20;6;33;15;6
L;6815;1;20002;20032;21;7;36;15;7
L;6815;1;20002;20041;22;8;30;15;8
L;6815;1;20002;20042;23;9;36;15;9
L;6815;1;20002;20051;24;-5;0;15;10
D;6816;0;20092;20092;33;1;7;33;1
D;6816;0;20092;20101;34;-7;1;33;2
E;6817;0;20082;20082;31;1;0;31;1
E;6817;0;20082;20091;32;-7;0;31;2
C;6818;1;20152;20152;45;1;20;45;1
C;6818;1;20152;20161;46;2;33.5;45;2
I;6819;0;20042;20042;23;1;30;23;1
I;6819;0;20042;20051;24;2;30;23;2
I;6819;0;20042;20052;25;3;34.5;23;3
I;6819;0;20042;20061;26;4;30;23;4
I;6819;0;20042;20062;27;5;31.5;23;5
I;6819;0;20042;20071;28;-3;0;23;6
I;6819;0;20042;20072;29;-3;0;23;7
I;6819;0;20042;20081;30;7;24;23;8
I;6819;0;20042;20082;31;9;13.5;23;9
I;6819;0;20042;20091;32;9;48;23;10
I;6819;0;20042;20092;33;-4;0;23;11
I;6819;0;20042;20101;34;-4;0;23;12
I;6819;0;20042;20102;35;-4;0;23;13
I;6819;0;20042;20111;36;-5;0;23;14
K;6820;0;20062;20062;27;1;3;27;1
K;6820;0;20062;20071;28;2;18;27;2
K;6820;0;20062;20072;29;-2;0;27;3
K;6820;0;20062;20081;30;-2;0;27;4
K;6820;0;20062;20082;31;-4;0;27;5
K;6820;0;20062;20091;32;-2;0;27;6
K;6820;0;20062;20092;33;3;3.5;27;7
K;6820;0;20062;20101;34;3;0;27;8
K;6820;0;20062;20102;35;5;0;27;9
K;6820;0;20062;20111;36;5;0;27;10
K;6820;0;20062;20112;37;-2;0;27;11
K;6820;0;20062;20121;38;-4;0;27;12
K;6820;0;20062;20122;39;-7;0;27;13
F;6821;0;20012;20012;17;1;18;17;1
F;6821;0;20012;20021;18;2;43.5;17;2
F;6821;0;20012;20022;19;3;31.5;17;3
F;6821;0;20012;20031;20;4;15;17;4
F;6821;0;20012;20032;21;5;19.5;17;5
F;6821;0;20012;20041;22;6;31.5;17;6
F;6821;0;20012;20042;23;7;28.5;17;7
F;6821;0;20012;20051;24;8;42;17;8
F;6821;0;20012;20052;25;9;6;17;9
F;6821;0;20012;20061;26;9;34.5;17;10
F;6821;0;20012;20062;27;-5;0;17;11
L;6822;0;20072;20072;29;1;15;29;1
L;6822;0;20072;20081;30;2;45;29;2
L;6822;0;20072;20082;31;3;30;29;3
L;6822;0;20072;20091;32;4;17;29;4
L;6822;0;20072;20092;33;5;40;29;5
L;6822;0;20072;20101;34;6;30;29;6
L;6822;0;20072;20102;35;7;30;29;7
L;6822;0;20072;20111;36;8;37.5;29;8
L;6822;0;20072;20112;37;9;22.5;29;9
L;6822;0;20072;20121;38;-5;30;29;10
V;6823;0;20062;20062;27;1;30;27;1
V;6823;0;20062;20071;28;2;30;27;2
V;6823;0;20062;20072;29;3;31.5;27;3
V;6823;0;20062;20081;30;4;30;27;4
V;6823;0;20062;20082;31;5;31.5;27;5
V;6823;0;20062;20091;32;6;25.5;27;6
V;6823;0;20062;20092;33;7;37.5;27;7
V;6823;0;20062;20101;34;8;25.5;27;8
V;6823;0;20062;20102;35;9;0;27;9
V;6823;0;20062;20111;36;-5;30;27;10
D;6824;0;20052;20052;25;1;13.5;25;1
D;6824;0;20052;20061;26;-7;0;25;2
W;6825;1;20062;20062;27;1;30;27;1
W;6825;1;20062;20071;28;2;30;27;2
W;6825;1;20062;20072;29;3;31.5;27;3
W;6825;1;20062;20081;30;4;30;27;4
W;6825;1;20062;20082;31;5;30;27;5
W;6825;1;20062;20091;32;6;28.5;27;6
W;6825;1;20062;20092;33;-2;0;27;7
W;6825;1;20062;20101;34;7;30;27;8
W;6825;1;20062;20102;35;-3;0;27;9
W;6825;1;20062;20111;36;-3;0;27;10
W;6825;1;20062;20112;37;9;0;27;11
W;6825;1;20062;20121;38;-5;30;27;12
F;6826;0;20092;20092;33;1;24;33;1
F;6826;0;20092;20101;34;-7;21;33;2
I;6827;1;19992;19992;13;1;22.5;13;1
I;6827;1;19992;20001;14;2;36;13;2
I;6827;1;19992;20002;15;3;30;13;3
I;6827;1;19992;20011;16;4;30;13;4
I;6827;1;19992;20012;17;5;25.5;13;5
I;6827;1;19992;20021;18;6;33;13;6
I;6827;1;19992;20022;19;7;7.5;13;7
I;6827;1;19992;20031;20;7;40.5;13;8
I;6827;1;19992;20032;21;-4;0;13;9
I;6827;1;19992;20041;22;-5;30;13;10
M;6828;0;20052;20052;25;1;33;25;1
M;6828;0;20052;20061;26;2;27;25;2
M;6828;0;20052;20062;27;-7;30;25;3
F;6829;0;20072;20072;29;1;30;29;1
F;6829;0;20072;20081;30;2;30;29;2
F;6829;0;20072;20082;31;3;30.5;29;3
F;6829;0;20072;20091;32;4;31.5;29;4
F;6829;0;20072;20092;33;5;23;29;5
F;6829;0;20072;20101;34;6;40.5;29;6
F;6829;0;20072;20102;35;7;21;29;7
F;6829;0;20072;20111;36;8;41.5;29;8
F;6829;0;20072;20112;37;9;15;29;9
F;6829;0;20072;20121;38;10;30;29;10
F;6829;0;20072;20122;39;10;30;29;11
F;6829;0;20072;20131;40;-5;0;29;12
P;6830;1;20072;20072;29;1;25.5;29;1
P;6830;1;20072;20081;30;2;34.5;29;2
P;6830;1;20072;20082;31;2;27.5;29;3
P;6830;1;20072;20091;32;2;33;29;4
P;6830;1;20072;20092;33;3;21;29;5
P;6830;1;20072;20101;34;4;39;29;6
P;6830;1;20072;20102;35;-3;0;29;7
P;6830;1;20072;20111;36;-3;0;29;8
P;6830;1;20072;20112;37;7;30;29;9
P;6830;1;20072;20121;38;8;13.5;29;10
P;6830;1;20072;20122;39;-5;30;29;11
I;6831;1;20012;20012;17;1;22.5;17;1
I;6831;1;20012;20021;18;2;25.5;17;2
I;6831;1;20012;20022;19;3;24;17;3
I;6831;1;20012;20031;20;4;28.5;17;4
I;6831;1;20012;20032;21;5;0;17;5
I;6831;1;20012;20041;22;-4;6;17;6
I;6831;1;20012;20042;23;5;19.5;17;7
I;6831;1;20012;20051;24;6;15;17;8
I;6831;1;20012;20052;25;6;27;17;9
I;6831;1;20012;20061;26;6;19.5;17;10
I;6831;1;20012;20062;27;7;21;17;11
I;6831;1;20012;20071;28;8;33;17;12
I;6831;1;20012;20072;29;-4;0;17;13
I;6831;1;20012;20081;30;-4;0;17;14
I;6831;1;20012;20082;31;-4;0;17;15
I;6831;1;20012;20091;32;-4;0;17;16
I;6831;1;20012;20092;33;-4;0;17;17
I;6831;1;20012;20101;34;-4;0;17;18
I;6831;1;20012;20102;35;-4;0;17;19
I;6831;1;20012;20111;36;-4;0;17;20
I;6831;1;20012;20112;37;-4;0;17;21
I;6831;1;20012;20121;38;-4;0;17;22
I;6831;1;20012;20122;39;-4;0;17;23
I;6831;1;20012;20131;40;-4;0;17;24
I;6831;1;20012;20132;41;-4;0;17;25
I;6831;1;20012;20141;42;-4;0;17;26
I;6831;1;20012;20142;43;-4;0;17;27
I;6831;1;20012;20151;44;-5;30;17;28
W;6832;1;20042;20042;23;1;30;23;1
W;6832;1;20042;20051;24;2;30;23;2
W;6832;1;20042;20052;25;3;30;23;3
W;6832;1;20042;20061;26;4;25.5;23;4
W;6832;1;20042;20062;27;5;34.5;23;5
W;6832;1;20042;20071;28;6;31.5;23;6
W;6832;1;20042;20072;29;-2;0;23;7
W;6832;1;20042;20081;30;7;30;23;8
W;6832;1;20042;20082;31;8;36;23;9
W;6832;1;20042;20091;32;9;22.5;23;10
W;6832;1;20042;20092;33;-4;0;23;11
W;6832;1;20042;20101;34;-5;30;23;12
M;6833;0;20132;20132;41;1;6;41;1
M;6833;0;20132;20141;42;2;15;41;2
M;6833;0;20132;20142;43;-7;0;41;3
N;6834;0;20072;20072;29;1;30;29;1
N;6834;0;20072;20081;30;2;17.5;29;2
N;6834;0;20072;20082;31;3;27;29;3
N;6834;0;20072;20091;32;4;33;29;4
N;6834;0;20072;20092;33;5;30;29;5
N;6834;0;20072;20101;34;6;37.5;29;6
N;6834;0;20072;20102;35;7;28.5;29;7
N;6834;0;20072;20111;36;8;36.5;29;8
N;6834;0;20072;20112;37;9;21;29;9
N;6834;0;20072;20121;38;-5;30;29;10
K;6835;0;19932;19932;1;1;19.5;1;1
K;6835;0;19932;19941;2;2;13.5;1;2
K;6835;0;19932;19942;3;3;13.5;1;3
K;6835;0;19932;19951;4;4;21;1;4
K;6835;0;19932;19952;5;5;7.5;1;5
K;6835;0;19932;19961;6;6;42;1;6
K;6835;0;19932;19962;7;6;18;1;7
K;6835;0;19932;19971;8;6;31.5;1;8
K;6835;0;19932;19972;9;7;22.5;1;9
K;6835;0;19932;19981;10;8;31.5;1;10
K;6835;0;19932;19982;11;9;9;1;11
K;6835;0;19932;19991;12;9;7.5;1;12
K;6835;0;19932;19992;13;9;6;1;13
K;6835;0;19932;20001;14;9;30;1;14
K;6835;0;19932;20002;15;-4;0;1;15
K;6835;0;19932;20011;16;-5;4.5;1;16
I;6836;0;20082;20082;31;1;30;31;1
I;6836;0;20082;20091;32;2;30;31;2
I;6836;0;20082;20092;33;3;20;31;3
I;6836;0;20082;20101;34;4;40;31;4
I;6836;0;20082;20102;35;5;30;31;5
I;6836;0;20082;20111;36;6;30;31;6
I;6836;0;20082;20112;37;-3;0;31;7
I;6836;0;20082;20121;38;8;30;31;8
I;6836;0;20082;20122;39;9;30;31;9
I;6836;0;20082;20131;40;10;30;31;10
I;6836;0;20082;20132;41;-5;0;31;11
F;6837;1;19982;19982;11;1;12;11;1
F;6837;1;19982;19991;12;2;33;11;2
F;6837;1;19982;19992;13;3;19.5;11;3
F;6837;1;19982;20001;14;4;19.5;11;4
F;6837;1;19982;20002;15;-2;16.5;11;5
F;6837;1;19982;20011;16;5;25.5;11;6
F;6837;1;19982;20012;17;5;27;11;7
F;6837;1;19982;20021;18;6;12;11;8
F;6837;1;19982;20022;19;7;33;11;9
F;6837;1;19982;20031;20;8;36;11;10
F;6837;1;19982;20032;21;9;15;11;11
F;6837;1;19982;20041;22;9;9;11;12
F;6837;1;19982;20042;23;9;30;11;13
F;6837;1;19982;20051;24;9;0;11;14
F;6837;1;19982;20052;25;-4;0;11;15
F;6837;1;19982;20061;26;-5;0;11;16
F;6838;1;20052;20052;25;1;0;25;1
F;6838;1;20052;20061;26;-4;0;25;2
F;6838;1;20052;20062;27;-4;0;25;3
F;6838;1;20052;20071;28;-4;0;25;4
F;6838;1;20052;20072;29;-4;0;25;5
F;6838;1;20052;20081;30;-4;0;25;6
F;6838;1;20052;20082;31;-4;0;25;7
F;6838;1;20052;20091;32;-4;0;25;8
F;6838;1;20052;20092;33;-4;0;25;9
F;6838;1;20052;20101;34;-4;0;25;10
F;6838;1;20052;20102;35;-4;0;25;11
F;6838;1;20052;20111;36;-7;0;25;12
M;6839;0;19992;19992;13;1;22.5;13;1
M;6839;0;19992;20001;14;2;28.5;13;2
M;6839;0;19992;20002;15;3;40.5;13;3
M;6839;0;19992;20011;16;4;28.5;13;4
M;6839;0;19992;20012;17;5;31.5;13;5
M;6839;0;19992;20021;18;-2;0;13;6
M;6839;0;19992;20022;19;-2;0;13;7
M;6839;0;19992;20031;20;6;33;13;8
M;6839;0;19992;20032;21;7;19.5;13;9
M;6839;0;19992;20041;22;8;22.5;13;10
M;6839;0;19992;20042;23;9;0;13;11
M;6839;0;19992;20051;24;-5;30;13;12
W;6840;0;20072;20072;29;1;30;29;1
W;6840;0;20072;20081;30;2;30;29;2
W;6840;0;20072;20082;31;3;24.5;29;3
W;6840;0;20072;20091;32;4;25;29;4
W;6840;0;20072;20092;33;5;26;29;5
W;6840;0;20072;20101;34;6;39;29;6
W;6840;0;20072;20102;35;-3;0;29;7
W;6840;0;20072;20111;36;7;22.5;29;8
W;6840;0;20072;20112;37;8;22.5;29;9
W;6840;0;20072;20121;38;9;13.5;29;10
W;6840;0;20072;20122;39;-4;0;29;11
W;6840;0;20072;20131;40;-5;30;29;12
D;6841;0;20062;20062;27;1;16.5;27;1
D;6841;0;20062;20071;28;2;0;27;2
D;6841;0;20062;20072;29;-4;0;27;3
D;6841;0;20062;20081;30;-7;0;27;4
V;6842;0;19962;19962;7;1;18;7;1
V;6842;0;19962;19971;8;2;12;7;2
V;6842;0;19962;19972;9;3;7.5;7;3
V;6842;0;19962;19981;10;4;16.5;7;4
V;6842;0;19962;19982;11;5;33;7;5
V;6842;0;19962;19991;12;5;28.5;7;6
V;6842;0;19962;19992;13;5;28.5;7;7
V;6842;0;19962;20001;14;5;15;7;8
V;6842;0;19962;20002;15;6;15;7;9
V;6842;0;19962;20011;16;-4;0;7;10
V;6842;0;19962;20012;17;6;0;7;11
V;6842;0;19962;20021;18;6;7.5;7;12
V;6842;0;19962;20022;19;7;12;7;13
V;6842;0;19962;20031;20;8;10.5;7;14
V;6842;0;19962;20032;21;8;0;7;15
V;6842;0;19962;20041;22;8;9;7;16
V;6842;0;19962;20042;23;-2;0;7;17
V;6842;0;19962;20051;24;-2;0;7;18
V;6842;0;19962;20052;25;-2;0;7;19
V;6842;0;19962;20061;26;-2;0;7;20
V;6842;0;19962;20062;27;-2;0;7;21
V;6842;0;19962;20071;28;8;0;7;22
V;6842;0;19962;20072;29;8;4.5;7;23
V;6842;0;19962;20081;30;8;12;7;24
V;6842;0;19962;20082;31;-4;4.5;7;25
V;6842;0;19962;20091;32;9;7.5;7;26
V;6842;0;19962;20092;33;-4;0;7;27
V;6842;0;19962;20101;34;-4;0;7;28
V;6842;0;19962;20102;35;-4;0;7;29
V;6842;0;19962;20111;36;-4;0;7;30
V;6842;0;19962;20112;37;-4;0;7;31
V;6842;0;19962;20121;38;-4;0;7;32
V;6842;0;19962;20122;39;-2;0;7;33
V;6842;0;19962;20131;40;-2;0;7;34
V;6842;0;19962;20132;41;-4;0;7;35
V;6842;0;19962;20141;42;-4;0;7;36
V;6842;0;19962;20142;43;-4;0;7;37
V;6842;0;19962;20151;44;-7;0;7;38
D;6843;0;20022;20022;19;1;28.5;19;1
D;6843;0;20022;20031;20;2;18;19;2
D;6843;0;20022;20032;21;3;24;19;3
D;6843;0;20022;20041;22;4;34.5;19;4
D;6843;0;20022;20042;23;5;18;19;5
D;6843;0;20022;20051;24;6;34.5;19;6
D;6843;0;20022;20052;25;7;28.5;19;7
D;6843;0;20022;20061;26;7;37.5;19;8
D;6843;0;20022;20062;27;8;30;19;9
D;6843;0;20022;20071;28;-5;16.5;19;10
V;6844;0;19992;19992;13;1;30;13;1
V;6844;0;19992;20001;14;2;19.5;13;2
V;6844;0;19992;20002;15;3;25.5;13;3
V;6844;0;19992;20011;16;4;31.5;13;4
V;6844;0;19992;20012;17;5;39;13;5
V;6844;0;19992;20021;18;6;36;13;6
V;6844;0;19992;20022;19;7;27;13;7
V;6844;0;19992;20031;20;8;19.5;13;8
V;6844;0;19992;20032;21;9;45;13;9
V;6844;0;19992;20041;22;-5;0;13;10
M;6845;0;20102;20102;35;1;28;35;1
M;6845;0;20102;20111;36;2;33;35;2
M;6845;0;20102;20112;37;3;30;35;3
M;6845;0;20102;20121;38;4;30;35;4
M;6845;0;20102;20122;39;5;30;35;5
M;6845;0;20102;20131;40;6;31;35;6
M;6845;0;20102;20132;41;7;37.5;35;7
M;6845;0;20102;20141;42;8;22.5;35;8
M;6845;0;20102;20142;43;-2;0;35;9
M;6845;0;20102;20151;44;-2;0;35;10
M;6845;0;20102;20152;45;9;15;35;11
M;6845;0;20102;20161;46;-5;37.5;35;12
V;6846;0;20022;20022;19;1;24;19;1
V;6846;0;20022;20031;20;2;28.5;19;2
V;6846;0;20022;20032;21;3;25.5;19;3
V;6846;0;20022;20041;22;4;36;19;4
V;6846;0;20022;20042;23;5;30;19;5
V;6846;0;20022;20051;24;-2;0;19;6
V;6846;0;20022;20052;25;-2;0;19;7
V;6846;0;20022;20061;26;6;39;19;8
V;6846;0;20022;20062;27;7;31.5;19;9
V;6846;0;20022;20071;28;8;31.5;19;10
V;6846;0;20022;20072;29;9;0;19;11
V;6846;0;20022;20081;30;9;30;19;12
V;6846;0;20022;20082;31;-4;0;19;13
V;6846;0;20022;20091;32;-5;0;19;14
V;6847;0;20072;20072;29;1;30.5;29;1
V;6847;0;20072;20081;30;2;29.5;29;2
V;6847;0;20072;20082;31;3;30.5;29;3
V;6847;0;20072;20091;32;4;26.5;29;4
V;6847;0;20072;20092;33;5;33;29;5
V;6847;0;20072;20101;34;6;51;29;6
V;6847;0;20072;20102;35;-3;0;29;7
V;6847;0;20072;20111;36;-3;0;29;8
V;6847;0;20072;20112;37;9;30;29;9
V;6847;0;20072;20121;38;10;45;29;10
V;6847;0;20072;20122;39;-4;0;29;11
V;6847;0;20072;20131;40;-5;0;29;12
F;6848;0;19942;19942;3;1;16.5;3;1
F;6848;0;19942;19951;4;2;22.5;3;2
F;6848;0;19942;19952;5;-2;0;3;3
F;6848;0;19942;19961;6;-7;0;3;4
K;6849;1;20132;20132;41;1;25;41;1
K;6849;1;20132;20141;42;2;35;41;2
K;6849;1;20132;20142;43;3;30;41;3
K;6849;1;20132;20151;44;4;30;41;4
K;6849;1;20132;20152;45;5;30;41;5
K;6849;1;20132;20161;46;6;30;41;6
F;6850;0;20022;20022;19;1;27;19;1
F;6850;0;20022;20031;20;2;33;19;2
F;6850;0;20022;20032;21;3;27;19;3
F;6850;0;20022;20041;22;4;28.5;19;4
F;6850;0;20022;20042;23;5;19.5;19;5
F;6850;0;20022;20051;24;6;22.5;19;6
F;6850;0;20022;20052;25;7;13.5;19;7
